-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2023 in LST
Location: latitude  24.8607   longitude 67.0099 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PS              MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,RH2M,WS2M,T2M,PS,PRECTOTCORR
2010,1,1,47.84,1.94,20.37,100.88,0.0
2010,1,2,43.02,3.05,20.81,100.91,0.11
2010,1,3,56.42,1.93,20.86,101.18,0.0
2010,1,4,54.88,2.19,20.13,101.21,0.0
2010,1,5,63.29,2.26,20.3,100.9,0.0
2010,1,6,65.39,1.89,19.81,100.78,0.0
2010,1,7,60.22,1.83,20.0,100.87,0.0
2010,1,8,41.24,3.48,19.41,101.05,0.0
2010,1,9,36.81,2.21,19.43,101.06,0.0
2010,1,10,35.31,1.3,19.58,101.07,0.0
2010,1,11,38.41,3.22,19.51,101.07,0.01
2010,1,12,55.43,2.5,18.57,101.13,0.0
2010,1,13,41.03,1.56,19.25,101.31,0.0
2010,1,14,34.04,2.18,19.08,101.61,0.0
2010,1,15,32.54,2.77,19.2,101.6,0.0
2010,1,16,33.62,2.35,20.02,101.59,0.0
2010,1,17,48.64,2.58,20.04,101.46,0.0
2010,1,18,59.88,1.61,20.85,101.32,0.0
2010,1,19,64.23,1.63,20.42,101.24,0.0
2010,1,20,54.02,1.3,20.59,101.27,0.0
2010,1,21,35.78,1.97,20.87,101.23,0.0
2010,1,22,66.78,2.39,19.89,101.07,0.0
2010,1,23,77.52,2.24,20.68,101.01,0.0
2010,1,24,67.16,1.27,22.24,100.9,0.0
2010,1,25,34.8,1.57,21.67,101.1,0.0
2010,1,26,46.25,2.07,21.34,101.12,0.0
2010,1,27,63.68,2.39,21.11,101.0,0.0
2010,1,28,72.54,2.62,21.55,100.96,0.2
2010,1,29,67.82,2.34,22.18,101.05,0.0
2010,1,30,60.41,1.79,21.94,101.15,0.0
2010,1,31,58.52,2.08,20.98,101.04,0.0
2010,2,1,66.32,2.34,21.73,100.88,0.0
2010,2,2,52.12,1.59,22.12,100.9,0.0
2010,2,3,38.59,2.73,22.09,100.89,0.0
2010,2,4,39.68,2.24,22.48,100.92,0.0
2010,2,5,41.9,2.05,23.46,100.92,0.0
2010,2,6,50.86,1.99,23.87,100.88,0.0
2010,2,7,70.96,2.36,23.13,100.85,0.11
2010,2,8,65.75,4.75,20.99,100.6,0.87
2010,2,9,36.3,4.42,17.27,100.68,0.0
2010,2,10,30.52,4.1,18.11,100.92,0.0
2010,2,11,26.4,3.33,18.29,101.21,0.0
2010,2,12,46.73,2.48,19.25,101.2,0.0
2010,2,13,56.35,1.52,21.24,101.04,0.0
2010,2,14,51.18,2.0,21.02,100.88,0.0
2010,2,15,39.14,4.59,20.12,100.75,0.0
2010,2,16,27.98,2.71,19.12,100.99,0.0
2010,2,17,27.26,1.85,19.58,101.27,0.0
2010,2,18,38.86,2.33,19.68,101.12,0.0
2010,2,19,70.83,2.29,22.07,100.92,0.0
2010,2,20,62.66,1.97,22.85,100.91,0.0
2010,2,21,64.68,2.38,21.78,100.8,0.0
2010,2,22,77.41,4.0,21.37,100.65,0.21
2010,2,23,69.56,3.53,22.39,100.55,0.0
2010,2,24,72.64,2.81,22.49,100.52,0.0
2010,2,25,74.23,2.68,22.59,100.6,0.0
2010,2,26,75.2,3.12,23.18,100.76,0.0
2010,2,27,70.73,3.07,23.15,100.79,0.0
2010,2,28,74.83,3.62,23.18,100.72,0.0
2010,3,1,82.39,4.05,23.62,100.68,0.0
2010,3,2,79.33,3.19,23.73,100.59,0.0
2010,3,3,78.69,4.57,23.8,100.4,0.0
2010,3,4,75.5,4.85,24.26,100.38,0.0
2010,3,5,70.93,3.24,22.98,100.56,0.0
2010,3,6,69.37,4.02,22.97,100.63,0.0
2010,3,7,69.44,2.51,23.67,100.93,0.0
2010,3,8,63.55,2.57,24.24,101.01,0.0
2010,3,9,66.72,2.66,24.82,100.95,0.0
2010,3,10,57.78,2.03,25.87,100.93,0.0
2010,3,11,61.2,2.33,25.22,100.97,0.0
2010,3,12,67.76,2.43,25.45,101.01,0.0
2010,3,13,71.8,3.05,25.58,100.8,0.0
2010,3,14,74.02,3.65,25.67,100.49,0.0
2010,3,15,69.3,3.29,26.42,100.38,0.0
2010,3,16,71.72,2.08,26.24,100.42,0.0
2010,3,17,66.23,1.81,26.87,100.72,0.0
2010,3,18,43.02,2.39,29.61,100.86,0.0
2010,3,19,36.94,2.15,29.61,100.77,0.0
2010,3,20,57.35,3.23,27.79,100.57,0.0
2010,3,21,71.18,3.83,26.55,100.34,0.0
2010,3,22,71.02,4.05,26.24,99.93,0.0
2010,3,23,74.04,2.8,26.29,99.72,0.0
2010,3,24,74.18,2.18,26.43,99.93,0.0
2010,3,25,69.07,2.21,26.09,100.09,0.0
2010,3,26,71.44,2.69,25.71,100.13,0.0
2010,3,27,74.81,3.02,26.35,100.32,0.0
2010,3,28,72.95,3.02,26.11,100.45,0.0
2010,3,29,77.33,4.62,26.06,100.36,0.0
2010,3,30,76.06,5.62,26.6,100.18,0.0
2010,3,31,72.15,3.99,26.71,100.09,0.0
2010,4,1,71.46,4.11,27.26,100.01,0.0
2010,4,2,75.13,5.37,26.61,100.0,0.0
2010,4,3,67.66,4.03,26.2,100.28,0.0
2010,4,4,70.54,3.13,25.85,100.5,0.0
2010,4,5,67.1,2.82,27.24,100.5,0.0
2010,4,6,62.37,2.56,28.06,100.44,0.0
2010,4,7,63.98,2.58,27.88,100.5,0.0
2010,4,8,68.31,3.17,27.15,100.61,0.0
2010,4,9,69.97,4.29,27.3,100.39,0.0
2010,4,10,77.01,4.54,27.03,99.99,0.0
2010,4,11,76.37,4.76,27.87,99.8,0.0
2010,4,12,66.71,3.7,29.11,99.9,0.0
2010,4,13,66.01,2.68,29.32,100.07,0.0
2010,4,14,66.92,3.37,29.01,100.13,0.0
2010,4,15,71.67,2.81,29.19,100.22,0.0
2010,4,16,75.45,2.99,29.08,100.14,0.0
2010,4,17,74.95,4.01,29.45,99.99,0.0
2010,4,18,71.84,5.84,29.83,99.85,0.0
2010,4,19,71.47,6.13,28.74,99.8,0.0
2010,4,20,71.99,6.04,29.12,99.74,0.0
2010,4,21,68.44,4.29,28.44,99.92,0.0
2010,4,22,69.52,3.62,28.4,100.21,0.0
2010,4,23,68.73,4.29,27.87,100.33,0.0
2010,4,24,72.41,5.46,28.18,100.12,0.0
2010,4,25,76.68,4.77,28.5,100.02,0.0
2010,4,26,77.38,3.66,29.13,100.22,0.0
2010,4,27,68.65,4.28,29.62,100.41,0.0
2010,4,28,69.89,4.21,29.38,100.28,0.0
2010,4,29,70.1,4.35,29.41,100.05,0.0
2010,4,30,59.88,2.12,29.79,100.21,0.02
2010,5,1,61.56,3.04,30.06,100.35,0.0
2010,5,2,68.7,4.0,29.94,100.22,0.0
2010,5,3,73.99,4.77,29.68,99.93,0.0
2010,5,4,82.59,4.65,28.7,99.81,0.0
2010,5,5,76.3,4.54,29.86,99.64,0.02
2010,5,6,71.09,5.83,30.06,99.74,0.02
2010,5,7,69.22,4.95,29.95,99.88,0.0
2010,5,8,74.24,3.78,29.02,99.98,0.0
2010,5,9,67.36,4.13,29.21,99.91,0.0
2010,5,10,66.01,4.96,29.39,99.85,0.03
2010,5,11,69.6,4.19,29.94,99.81,0.0
2010,5,12,68.91,4.45,30.59,99.77,0.0
2010,5,13,71.41,4.28,30.45,99.69,0.0
2010,5,14,62.65,4.38,31.4,99.49,0.0
2010,5,15,73.29,4.0,30.9,99.5,0.0
2010,5,16,75.63,5.26,30.55,99.6,0.0
2010,5,17,72.78,5.41,30.18,99.81,0.03
2010,5,18,70.16,5.19,30.56,99.81,0.0
